id,title,price,sold,condition,assurance,weight,seller,description
62,Belajar PHP Membuat Website Dengan CodeIgniter Dari NOL Sampai ONLINE,Rp120.000,Terjual 49 Produk,Baru,Opsional,250gr,Omviral Online Shop,"DVD Tutorial Belajar PHP dan pemrograman - Membuat website dengan codeigniter dari nol sampai online untuk mereka yang mau upgrade skill dari programmer PHP basic.

CodeIgniter adalah salah satu framework PHP yang paling populer. dan banyak digunakan oleh para developer. digunakan untuk membuat sistem informasi/aplikasi atau pun website. ada banyak website yang dibangun menggunakan codeigniter. diantaranya adalah web sekolah, universitas, company profile, dan lain-lain.

Dan ada banyak juga aplikasi besar yang dibangun dengan menggunakan framework codeigniter. pada ebook tutorial ini teman-teman akan belajar CodeIgniter dari paling dasar. hingga step by step sampai materi advanced. sehingga tutorial ini sangat cocok untuk pemula.

DVD Tutorial Belajar PHP dan pemrograman - Membuat website dengan codeigniter dari nol sampai online akan membantu anda membangun aplikasi mulai dari nol dengan sangat cepat karena anda tinggal gunakan framework yang sudah ada dan ikuti aturan penulisan kodenya .

Studi kasus dari video tutorial ini adalah membuat sebuah CMS mulai dari nol dimana didalam sebuah cms itu sudah terdapat fungsi2 lengkap dari sebuah aplikasi web misalnya crud, transaksi, login user. sehingga diharapkan setelah anda menguasai materi dari video ini anda sudah mampu memiliki skill pemrograman untuk menulis kode membuat aplikasi web .

Apa saja materi yang anda dapatkan dalam DVD Tutorial Belajar PHP dan pemrograman - Membuat website dengan codeigniter dari nol sampai online :

1. Library yang digunakan untuk praktek diebook ini
2. materi berupa ebook.
3. software Pendukung sehingga anda tidak perlu repot lagi untuk download , tinggal install dan ikuti petunjuk dan praktekan apa yang didalam ebook.
4. full final source code yang dibahas pada ebook ini.
5. Bonus Template --> Admin LTE2.4.5 , devfolio, creativeagency-master, iconic-master, nexus- master

Plus Tambahan Bonus Via GDRIVE ebook php & mysql yang membantu anda yang belum pernah belajar PHP Dasar."
63,Paket Bundling Flutter (Happy Flutter&Enjoy Flutter&Love is Flutter),Rp481.500,Terjual 104 Produk,Baru,Opsional,900gr,Udacoding Store,"Buku Pemrograman Membuat Aplikasi Android dan iOS menggunakan Flutter.

Jual Buku Flutter.

Membuat Aplikasi Android dan iOS menggunakan Flutter dari level Basic, Advance hingga Study Kasus pengerjaan Project.

Daftar Isi Buku

1. Happy Flutter
Pengenalan Dart
Mengapa Dart
First Code on Dart.
Syntax pada Dart.
Tipe Data pada Dart
Parsing Number
String.
Sejarah Flutter .
SDK Versi Flutter.
Kelebihan Flutter
Penggunaan Flutter Studio
Install Flutter
Membuat Aplikasi Pertama Flutter
Perbedaan Stateless dan Stateful Widget
Layout
Appbar dan Tab Bar Widget.
Custom Widget
Notification Widget
Animasi Transisi
Pengiriman Value .
Pengembalian Data
Penggunaan Image Pada Flutter
Super Hero Grid View ‘Movie App
Berita Olahraga Apps
Membuat Apk dari Flutter
Upload Aplikasi ke Playstore
Menjalankan Project Flutter pada Mac OS dan Iphone
Export File .ipa dan upload to Appstore
Referensi.

2. Enjoy Flutter
Bloc Pattern Pada Flutter
Mengenal Bloc Pattern Pada Flutter
Implementasi Bloc Pattern Pada Flutter
RxDart Pada Flutter
Mengenal RxDart Dart Pada Flutter
Implementasi RxDart Pada Aplikasi Flutter
Apps Data Pegawai Realtime Database MySQL dan JSON
Pengenalan Realtime Database
Login dan register authentication gmail
Penambahan Data Pegawai
Update Data Pegawai
Menampikan List Data Pegawai
Menampilkan Detail Data Pegawai
Hapus data pegawai dari database
Aplikasi Pariwisata Indonesia dengan Database Firebase
Pengenalan aplikasi
Penggunaan google maps pada flutter
Design database pariwisata indonesia
Webservices untuk menampilkan data pariwisata indonesia
Menampilkan data pariwisata Indonesia
Menampilkan detail pariwisata Indonesia
Menampilkan Lokasi Wisata Indonesia

3. Love is Flutter
Pendahuluan
BAB I : Youtube Playlist API
Pengenalan Apa itu Youtube Playlist API
Penggunaan Webview

untuk daftar isi selengkapnya dari buku Love is Flutter bisa dilihat di
https://www.tokopedia.com/udacoding/love-is-flutter-intermediate-high-level-buku-flutter-seri-ke-3"
64,CEH: CERTIFIED ETHICAL HACKER 500% ILLEGAL/BUKU KOMPUTER/JASAKOM,Rp51.000,Terjual 127 Produk,Baru,Opsional,450gr,dunia baca bookstrore,"Think like' a hacker
Untuk mengalahkan hacker, anda harus berfikir dan bertindak seperti hacker..

Harga resmi Rp81.500

GRADE KW, JASAKOM

Melanjutkankan buku Best Seller CEH:100% illegal, CEH:200% illegal, CEH: 300% illegal dan CEH:400% illegal, dan CEH:500% illegal membahas modul lanjutan sertfikasi Certified Ethical Hacker yang belum dibahas pada buku-buku sebelumnya.

Pada buku ini, Anda akan melihat berbagai topik menarik dan juga berbagai alat bantu (tools) yang biasa digunakan oleh hacker dalam ‘bekerja’.

Pada seri ke-5 dari buku ini, Anda akan mempelajari tentang serangan DoS yang mampu mematikan situs-situs berskala dunia seperti bank dan lain-lain dan bagaimana proteksi terhadap serangan ini baik secara hardware maupun software. Anda juga akan mempelajari tentang robot-robot ‘pembunuh’, perampok komunikasi, dan lain sebagainya.

* DoS
* Botnet
* Session Hijacking
* Man in The Middle
* Dll

THINK LIKE A HACKER !
Untuk mengalahkan hacker, Anda harus berfikir & bertindak seperti hacker. Inilah yang anda pelajari di dalam modul CEH !"
65,TERMURAH ORIGINAL BUKU MATEMATIKA TEKNIK Untuk Perguruan Tinggi,Rp149.700,Terjual 24 Produk,Baru,Opsional,970gr,Gerai 212,"Selama barang tampil, berarti READY Kak..

Kelebihan buku komputer di Gerai 212:
1.Buku dijamin ORIGINAL 100% tersegel
2.HARGA MAHASISWA (Diskon 21,2%)
3.Packing Rapi
4.Pelayanan Cepat
5.Reputasi Toko 5.0

Silakan diORDER Kakak.. :)

Agar Lebih AMAN, Kakak bisa tambahkan Bubble Wrap dalam Orderan Kakak pada link dibawah ini:
https://www.tokopedia.com/gerai212/bubble-wrap-untuk-tambahan-packing-gerai-212?n=1

Pengarang : Ratnadewi
Penerbit : Rekayasa Sains
Tahun Terbit : 2019
Tebal : 873 Hal

Pembahasan :
Menggambar Grafik dan Sketsa Suatu Persamaan
Fungsi
Limit dan
Fungsi Kontinu
Turunan
Penggunaan Turunan
Fungsi Transenden
Integral
Teknik Pengintegralan
Penggunaan Integral
Irisan Kerucut
dan Koordinat Kutub
Turunan Dalam Ruang Dimensi-n
Integral dalam
Ruang-n
Persamaan Diferensial
Bilangan Kompleks
Integrasi
Kompleks
Barisan dan Deret Tak Terhingga
Deret Pangkat | Deret
Taylor dan Deret Maclaurin
Deret Laurent dan Integral Residu
Sistem
Persamaan Linear dan Matriks
Konsep Matriks dan Operasi Matriks
Vektor Ruang D-2, D-3
Transformasi Linear
Ruang Vektor Euclidean
Kalkulus Diferensial Vektor
Integral Garis, Integral Permukaan, dan
Integral Volume
Teorema Integral

buki ini menyajikan teori-teori secara singkat dan pemecahan masalah sistematis yang berhubungan dengan: sistem bilangan, grafik, fungsi, limit, turunan (diferensial), penggunaan turunan, fungsi transenden, integral, teknik pengintegralan, pengguanaan integral, irisan kerucut dan koordinat kutub, turunan dalam ruang dimensi-n, persamaan diferensial, bilangan kompleks, integrasi kompleks, barisan dan deret tak terhingga, deret pangkat, deret taylor dan deret maclaurin, deret laurent dan integral residu, sistem persamaan linear dan matriks, konsep matriks dan operasi matriks, vektorruang D-2 dan D-3, transformasi linear, ruang vektor euclidean, kalkulus diferensial vektor, integral garis, integral permukaan, dan integral volume, teorema integral."
66,Membuat Website Dengan CodeIgniter Dari NOL Sampai ONLINE Ke Hosting,Rp120.000,Terjual 219 Produk,Baru,Opsional,300gr,Tutorial Pemrograman,"Daftar Isi Ebook Membuat Website Dengan CodeIgniter Dari NOL Sampai ONLINE

TUTORIAL CODEIGNITER “ Membuat CMS Website Dengan CodeIgniter Dari NOL Sampai ONLINE Ke Hosting“
Membuat CMS Website Sendiri Dari Nol Sampai Online Dengan Codeigniter

Persiapan Awal Membuat CMS Website Dengan CodeIgniter
Instalasi Project CodeIgniter
Membuat Database
Koneksi Database Codeigniter
Konfigurasi base_url Codeigniter
Load Helper dan Library
Enkripsi Session CodeIgniter
Menghilangkan index.php dari URL CodeIgniter
Template Dashboard AdminLTE
Download AdminLTE
Integrasi AdminLTE ke CodeIgniter
Membuat Login Website
Membuat Table Pengguna
Membuat Form Login Dengan AdminLTE
Membuat Login Multi Level Website
Membuat Dashboard Pengguna
Membuat Dahboard Pengguna
Membuat Template Dashboard Admin Dinamis
Membuat Fitur Logout
Membuat Fitur Ganti Password
Membuat CRUD Kategori
Membuat Table Kategori
Membuat CRUD K
Apa Saja Yang Didapat Dalam Paket Ebook Ini ?
Teman-teman tidak hanya mendapat materi ebook dalam bentuk PDF, tapi teman-teman juga dapat full source code project yang sudah siapnya, berikut isi paket ebook Membuat Website Dengan CodeIgniter Dari NOL Sampai ONLINE.

Materi Membuat Website Dengan CodeIgniter Dari NOL Sampai ONLINE.
FULL SOURCE CODE WEBSITE yang sudah siap.
Template AdminLTE dan Template DevFolio yang digunakan.
Bonus beberapa template website
Software Pendukung

Membuat Website Dengan CodeIgniter - ayo tunggu apalagi, dengan 120.000 teman-teman sudah bisa mendapatkan tutorial codeigniter terbaik dan terlengkap.

Untuk detail materinya bisa di baca di sini :
https://www.malasngoding.com/product/membuat-website-dengan-codeigniter/"
67,Buku Konsep dan Implementasi Pemrograman laravel 7 Edisi Best Practice,Rp57.400,Terjual 58 Produk,Baru,Ya,500gr,Omviral Online Shop,"Buku laravel 7 terbaik saat ini baru terbit tanggal 15 Juni 2020 bisa segera anda miliki sekarang juga

Sejak tahun 2016 buku konsep dan implementansi pemrograman laravel menjadi buku panduan terbaik ( BEST SELLER ) dalam mempelajari laravel. tidak seperti framework PHP berskala kecil yang relatif mudah di pelajari. laravel cukup sulit untuk dikuasai, terutama bagi pemula, karena kompleksitas yang ada didalamnya untuk itulah, dibutuhkan panduan yang tepat untuk menguasai laravel.

Dalam edisi best practise ini tetap mempertahankan struktur dan sistematis buku sebelumnya, namun banyak update tidak hanya versi seperti koding yang disederhanakan sedemikian ruap, sehingga lebih mudah dipelajari . disertakan juga alur / diagram dan ilustrasi serta materi baru / proyek admin gallery system.

buku ini akan membantu anda untuk mempelajari laravel 7 dengan cara mudah disajikan dalam bentuk langkah demi langkah. setiap materi disertai. studi kasus bahkan beberapa materi tidak ada dalam dokumentasi resmi laravel.

1. Installasi laravel
2. composer dan artisan
3. memahami routing
4. blade template engine
5. flash message
6. easy crud
7. validation dan pagination
8. penggunaan view dan controller
9. teknk upload file/ foto
10. resize image (thumbs )
11. admin system ( back end )
12. Halaman pengunjung front end
13. integrasi template admin ke laravel
14. eloquent relationship one to many
15. seo url friendly
16. membuat modul album
17. membuat modul galeri foto
18. membuat modul manajemen user
19. upload proyek laravel ke hosting
20. authentication ( login/ level user )
21. security modul dengan middleware

#buku_laravel #buku_laravel_vue #buku_laravel_7 #buku_laravel_gramedia #buku_laravel_terbaik"
68,Buku Dasar pemrograman C++ disertai dengan pengenalan pemrograman,Rp35.000,Terjual 26 Produk,Baru,Opsional,192gr,Buku ID,"Buku ini merupakan buku dasar dikhususkan bagi para pembaca yang baru mempelajari bahasa pemrograman untuk pertama kali. Namun bagi para pembaca yang sudah mahir tidak tertutup kemungkinan untuk mencobanya. Soource code yang ada di buku ini bisa diterapkan pada Turbo C++ dan Borland C++.Pembahasan buku mencakup: Variabel dan Konstanta Basic Input Output Struktur Percabangan & Struktur Perulangan Larik Numerik Pointer (Pengenalan), Fungsi, & Function Overloading Template Fungsi dan Struktur Data Pengenalan pada Konsep Pemrograman Berorientasi Obyek Inheritance Polymorphisme.

Format : Soft Cover
ISBN : 9797635821
ISBN13 : 9789797635824
Tanggal Terbit : September 2006
Bahasa : Indonesia
Halaman : 106"
69,"Cracking the Coding Interview, 6th Edition",Rp175.000,Terjual 61 Produk,Baru,Opsional,1250gr,Milatifa_Wardoyo,"Buku ini Non Original

Title : Cracking the Coding Interview, 6th Edition: 189 Programming Questions and Solutions
Author(s): Gayle Laakmann McDowell
Publisher: CareerCup
Year : 2015
Edition : 6th
Language: English
Pages : 712

I am not a recruiter. I am a software engineer. And as such, I know what it's like to be asked to whip up brilliant algorithms on the spot and then write flawless code on a whiteboard. I've been through this as a candidate and as an interviewer.
Cracking the Coding Interview, 6th Edition is here to help you through this process, teaching you what you need to know and enabling you to perform at your very best. I've coached and interviewed hundreds of software engineers. The result is this book.
Learn how to uncover the hints and hidden details in a question, discover how to break down a problem into manageable chunks, develop techniques to unstick yourself when stuck, learn (or re-learn) core computer science concepts, and practice on 189 interview questions and solutions.
These interview questions are real; they are not pulled out of computer science textbooks. They reflect what's truly being asked at the top companies, so that you can be as prepared as possible. WHAT'S INSIDE? 189 programming interview questions, ranging from the basics to the trickiest algorithm problems. A walk-through of how to derive each solution, so that you can learn how to get there yourself. Hints on how to solve each of the 189 questions, just like what you would get in a real interview. Five proven strategies to tackle algorithm questions, so that you can solve questions you haven't seen. Extensive coverage of essential topics, such as big O time, data structures, and core algorithms. A behind the scenes look at how top companies like Google and Facebook hire developers. Techniques to prepare for and ace the soft side of the interview: behavioral questions. For interviewers and companies: details on what ma"
70,buku Belajar Otodidak Flask Framework Python Budi Raharjo Informatika,Rp50.000,Terjual 6 Produk,Baru,Opsional,450gr,Jovans Book Store,"Judul Buku : Belajar Otodidak Flask Framework Python untuk Pengembangan Aplikasi Web Disertai CD Gratis
Pengarang : Budi Raharjo
Penerbit : INFORMATIKA
Cetakan : Ke-1
Tahun Terbit : 2017
Bahasa : Indonesia
Jumlah Halaman : 244
Kertas Isi : HVS
Cover : Soft
Ukuran : 16 x 24
Harga : Rp 70.000 DISKON
Bayar : Rp 58800"
71,buku pemrograman web dengan PHP 7,Rp93.000,Terjual 1 Produk,Baru,Opsional,800gr,Jovans Book Store,"Penerbit informatika

Buku di jamin original 100%

Harga normal 120.000

Diskon 20%

Beli banyak lebih murah

Silakan di order:)"
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
